"x","predicted","std.error","conf.low","conf.high","group","predictor","dependent_var"
"3",-0.190938651823344,0.279820309720565,-0.752442096606395,0.370564792959707,"1","minute","avg_TU_duration_delta"
"expert",-0.340256749658972,0.26915691224665,-0.880362410912037,0.199848911594093,"1","expert","avg_TU_duration_delta"
"novice",-0.404967481569716,0.463007598062651,-1.33406502110331,0.524130057963878,"1","expert","avg_TU_duration_delta"
"asr-assisted",-0.340256749658972,0.26915691224665,-0.880362410912037,0.199848911594093,"1","phase","avg_TU_duration_delta"
"manual",-0.0569234163256383,0.269156912246649,-0.597029077578703,0.483182244927427,"1","phase","avg_TU_duration_delta"
"free-conversation",-0.340256749658972,0.26915691224665,-0.880362410912037,0.199848911594093,"1","data","avg_TU_duration_delta"
"interview",-0.83816403518286,0.269156912246649,-1.37826969643593,-0.298058373929795,"1","data","avg_TU_duration_delta"
"L2-interview",-0.340993972504654,0.208852928698208,-0.760090209779864,0.0781022647705565,"1","data","avg_TU_duration_delta"
"1",239.535155033439,30.3730269031813,178.78002770597,300.290282360908,"1","minute","n_intonationpatterns_norm"
"2",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","minute","n_intonationpatterns_norm"
"3",495.262427760712,30.3730269031813,434.507300433243,556.017555088181,"1","minute","n_intonationpatterns_norm"
"expert",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","expert","n_intonationpatterns_norm"
"novice",339.071398669047,24.2249789163181,290.614203959487,387.528593378607,"1","expert","n_intonationpatterns_norm"
"asr-assisted",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","phase","n_intonationpatterns_norm"
"manual",345.157925765046,27.4164970959513,290.316741274367,399.999110255724,"1","phase","n_intonationpatterns_norm"
"free-conversation",367.40035000747,27.4164970959513,312.559165516792,422.241534498149,"1","data","n_intonationpatterns_norm"
"interview",198.955170492873,27.4164970959512,144.113986002195,253.796354983552,"1","data","n_intonationpatterns_norm"
"L2-interview",375.989108178919,23.2967582364897,329.388632122088,422.589584235751,"1","data","n_intonationpatterns_norm"
"1",-97.1519746112301,33.9346778002875,-165.132627863812,-29.1713213586479,"1","minute","n_intonationpatterns_delta"
"2",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","minute","n_intonationpatterns_delta"
"3",-137.697429156685,33.9346778002875,-205.678082409267,-69.7167759041025,"1","minute","n_intonationpatterns_delta"
"expert",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","expert","n_intonationpatterns_delta"
"novice",-72.4492401758957,34.7605752233247,-142.084397021178,-2.81408333061336,"1","expert","n_intonationpatterns_delta"
"asr-assisted",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","phase","n_intonationpatterns_delta"
"manual",-95.1784571128633,32.036403029959,-159.356334936155,-31.0005792895716,"1","phase","n_intonationpatterns_delta"
"free-conversation",-117.420881355288,32.036403029959,-181.598759178579,-53.2430035319959,"1","data","n_intonationpatterns_delta"
"interview",-31.7948211302698,32.036403029959,-95.9726989535614,32.3830566930218,"1","data","n_intonationpatterns_delta"
"L2-interview",-25.2548747312931,25.762128902909,-76.8636261773477,26.3538767147615,"1","data","n_intonationpatterns_delta"
"1",10.0788194291839,3.59827913622593,2.86511988954585,17.2925189688219,"1","minute","n_prolongations_norm"
"2",15.5107109058362,3.4315394298043,8.63128508369376,22.3901367279786,"1","minute","n_prolongations_norm"
"3",20.9424557928202,3.59827913622593,13.7287562531822,28.1561553324583,"1","minute","n_prolongations_norm"
"expert",15.5107109058362,3.4315394298043,8.63128508369376,22.3901367279786,"1","expert","n_prolongations_norm"
"novice",11.7206226231992,4.15565963854468,3.38950686298495,20.0517383834135,"1","expert","n_prolongations_norm"
"asr-assisted",15.5107109058362,3.4315394298043,8.63128508369376,22.3901367279786,"1","phase","n_prolongations_norm"
"manual",18.4198018149271,3.4315394298043,11.5403759927847,25.2992276370695,"1","phase","n_prolongations_norm"
"free-conversation",15.5107109058362,3.4315394298043,8.63128508369376,22.3901367279786,"1","data","n_prolongations_norm"
"interview",14.6922866658517,3.4315394298043,7.81286084370929,21.5717124879941,"1","data","n_prolongations_norm"
"L2-interview",18.3735961622599,2.7119900829607,12.9366967799969,23.8104955445229,"1","data","n_prolongations_norm"
"1",-6.06488616756398,4.03060382628858,-14.1497471077216,2.01997477259368,"1","minute","n_prolongations_delta"
"2",-7.72397250819688,3.86481491093483,-15.4762826981884,0.0283376817946852,"1","minute","n_prolongations_delta"
"3",-9.38306798574581,4.03060382628858,-17.4679289259035,-1.29820704558814,"1","minute","n_prolongations_delta"
"expert",-7.72397250819688,3.86481491093483,-15.4762826981884,0.0283376817946852,"1","expert","n_prolongations_delta"
"novice",-3.27682937439558,5.39464534374495,-14.097778121871,7.54411937307983,"1","expert","n_prolongations_delta"
"asr-assisted",-7.72397250819688,3.86481491093483,-15.4762826981884,0.0283376817946852,"1","phase","n_prolongations_delta"
"manual",-10.6330634172878,3.86481491093483,-18.3853736072794,-2.88075322729622,"1","phase","n_prolongations_delta"
"free-conversation",-7.72397250819688,3.86481491093483,-15.4762826981884,0.0283376817946852,"1","data","n_prolongations_delta"
"interview",1.26167531145982,3.86481491093483,-6.49063487853174,9.01398550145139,"1","data","n_prolongations_delta"
"L2-interview",-2.97114472514999,3.02074837603764,-9.03036850600959,3.0880790557096,"1","data","n_prolongations_delta"
"1",16.2048181832874,2.85956925550996,10.4705462304875,21.9390901360874,"1","minute","n_overlaps_norm"
"2",22.4028544409135,2.85252579553737,16.6827066835299,28.123002198297,"1","minute","n_overlaps_norm"
"3",16.4775454560147,2.85956925550996,10.7432735032148,22.2118174088146,"1","minute","n_overlaps_norm"
"expert",22.4028544409135,2.85252579553737,16.6827066835299,28.123002198297,"1","expert","n_overlaps_norm"
"novice",17.1094594407211,3.31518027145903,10.4615542667256,23.7573646147166,"1","expert","n_overlaps_norm"
"asr-assisted",22.4028544409135,2.85252579553737,16.6827066835299,28.123002198297,"1","phase","n_overlaps_norm"
"manual",25.0998241378832,2.85252579553737,19.3796763804996,30.8199718952667,"1","phase","n_overlaps_norm"
"free-conversation",22.4028544409135,2.85252579553737,16.6827066835299,28.123002198297,"1","data","n_overlaps_norm"
"interview",21.8239368597459,2.85252579553737,16.1037891023623,27.5440846171294,"1","data","n_overlaps_norm"
"L2-interview",28.5058656476363,2.33676528426912,23.8199684258635,33.1917628694091,"1","data","n_overlaps_norm"
"1",-1.89788559759623,3.4617377918698,-8.82595289904332,5.03018170385087,"1","minute","n_overlaps_delta"
"2",-2.48839777859963,3.19381946160933,-8.88027304733553,3.90347749013627,"1","minute","n_overlaps_delta"
"3",-3.07970377941441,3.4617377918698,-10.0077710808615,3.84836352203268,"1","minute","n_overlaps_delta"
"expert",-2.48839777859963,3.19381946160933,-8.88027304733553,3.90347749013627,"1","expert","n_overlaps_delta"
"novice",2.73482766186927,3.07781757863817,-3.4248899737246,8.89454529746314,"1","expert","n_overlaps_delta"
"asr-assisted",-2.48839777859963,3.19381946160933,-8.88027304733553,3.90347749013627,"1","phase","n_overlaps_delta"
"manual",-5.18536747556933,3.19381946160933,-11.5772427443052,1.20650779316657,"1","phase","n_overlaps_delta"
"free-conversation",-2.48839777859963,3.19381946160933,-8.88027304733553,3.90347749013627,"1","data","n_overlaps_delta"
"interview",1.6477702049977,3.19381946160933,-4.7441050637382,8.0396454737336,"1","data","n_overlaps_delta"
"L2-interview",-15.1284909535698,2.64889094879532,-20.4297863926838,-9.82719551445575,"1","data","n_overlaps_delta"
